instance,total,n0,ub0,n4,ub4,average_ub0,average_ub4
Berlin_1_256&&1000,50,50,51.149290000000015,50,51.07745000000002,1.02299,1.02155
brc202d&&2000,50,50,67.77552000000001,50,66.35611,1.35551,1.32712
den312d&&400,50,50,91.72644,50,91.04574000000004,1.83453,1.82091
den312d&&500,50,50,107.20346000000004,50,103.55435,2.14407,2.07109
den312d&&600,52,52,137.36558999999997,52,131.94986000000003,2.64165,2.5375
den312d&&700,50,50,163.30766000000003,50,153.55243,3.26615,3.07105
den312d&&800,57,57,217.33818,57,204.80594,3.81295,3.59309
den312d&&900,50,50,214.69390000000004,50,202.99835,4.29388,4.05997
den312d&&1000,50,50,241.59051,50,229.90559,4.83181,4.59811
maze-128-128-1&&100,50,50,74.55138999999997,50,73.05265,1.49103,1.46105
maze-128-128-1&&200,50,50,96.75625999999995,50,89.89156999999997,1.93513,1.79783
maze-128-128-1&&300,51,47,135.00066999999996,50,142.42014,2.87235,2.8484
maze-128-128-2&&300,50,50,60.91107,50,60.0592,1.21822,1.20118
maze-128-128-2&&400,50,50,63.22752,50,62.17585000000001,1.26455,1.24352
maze-128-128-2&&500,50,50,66.67121,50,65.57084,1.33342,1.31142
maze-128-128-2&&600,50,50,69.35893999999998,50,67.72425,1.38718,1.35448
maze-128-128-2&&700,50,50,72.73272000000001,50,70.81544,1.45465,1.41631
maze-128-128-2&&800,50,50,75.48863,50,73.48727,1.50977,1.46975
maze-128-128-2&&900,50,50,77.27184999999997,50,75.43188,1.54544,1.50864
maze-128-128-2&&1000,50,50,80.02211999999999,50,78.15669000000001,1.60044,1.56313
maze-32-32-4&&100,200,200,274.36002,200,272.56624,1.3718,1.36283
maze-32-32-4&&150,50,50,83.05418,50,80.41232,1.66108,1.60825
maze-32-32-4&&200,250,250,636.06476,250,630.6855700000004,2.54426,2.52274
random-32-32-10&&300,100,100,142.43029999999993,100,140.43054,1.4243,1.40431
random-32-32-10&&350,50,50,82.87908999999999,50,81.47121999999999,1.65758,1.62942
random-32-32-10&&400,51,51,96.49768,51,93.67884,1.89211,1.83684
random-32-32-10&&460,100,100,219.32012000000003,100,210.87688000000009,2.1932,2.10877
room-32-32-4&&100,200,200,288.44627999999994,200,288.1909800000001,1.44223,1.44095
room-32-32-4&&200,50,50,115.96832,50,114.36619000000005,2.31937,2.28732
room-32-32-4&&300,50,50,182.74652000000003,50,179.82603,3.65493,3.59652
room-64-64-8&&300,50,50,87.66732000000005,50,86.15180000000004,1.75335,1.72304
room-64-64-8&&400,50,50,105.16070000000002,50,104.63065999999998,2.10321,2.09261
room-64-64-8&&500,50,50,127.26877,50,125.00565000000005,2.54538,2.50011
room-64-64-8&&600,50,50,151.29927,50,149.91482000000002,3.02599,2.9983
warehouse-10-20-10-2-1&&300,50,50,55.10687000000001,50,54.66393,1.10214,1.09328
warehouse-10-20-10-2-1&&400,50,50,58.84242999999998,50,58.17115,1.17685,1.16342
warehouse-10-20-10-2-1&&500,50,50,64.12633000000001,50,63.23475999999998,1.28253,1.2647
warehouse-10-20-10-2-1&&600,50,50,72.25345,50,69.95652,1.44507,1.39913
warehouse-10-20-10-2-1&&700,53,53,78.17636999999999,53,76.63695000000001,1.47503,1.44598
warehouse-10-20-10-2-1&&800,50,50,83.10329000000002,50,80.41251,1.66207,1.60825
warehouse-10-20-10-2-1&&900,51,51,89.97572000000002,51,87.56558999999999,1.76423,1.71697
warehouse-10-20-10-2-1&&1000,50,50,99.31780000000002,50,95.60365000000002,1.98636,1.91207
warehouse-20-40-10-2-1&&1000,50,50,55.55623,50,54.88429,1.11112,1.09769
