instance,total,n0,ub0,n4,ub4,average_ub0,average_ub4
Berlin_1_256&&1000,50,50,61.94370999999999,50,59.32872,1.23887,1.18657
den312d&&600,50,50,139.46949,50,131.44172999999998,2.78939,2.62883
den312d&&700,50,50,167.70146,50,155.57675999999998,3.35403,3.11154
den312d&&800,50,50,194.36671000000004,50,179.98873999999998,3.88733,3.59977
den312d&&900,50,50,222.76264999999992,50,206.28383,4.45525,4.12568
den312d&&1000,50,50,251.03211,50,235.80491999999992,5.02064,4.7161
lak303d&&300,50,50,58.39923,50,56.38047000000001,1.16798,1.12761
lak303d&&400,50,50,60.73344999999999,50,57.28958,1.21467,1.14579
lak303d&&500,50,50,63.43104,50,59.45192999999999,1.26862,1.18904
lak303d&&600,50,50,67.10466000000001,50,62.18695,1.34209,1.24374
lak303d&&700,50,50,72.63654,50,67.07165,1.45273,1.34143
lak303d&&800,50,50,77.51345,50,71.83105000000002,1.55027,1.43662
lak303d&&900,50,50,84.25847,50,77.82889999999998,1.68517,1.55658
lak303d&&1000,50,50,91.4128,50,84.00533000000001,1.82826,1.68011
maze-128-128-1&&150,50,50,85.3355,50,81.90602000000004,1.70671,1.63812
maze-128-128-1&&200,50,49,94.11672,50,90.17492,1.92075,1.8035
maze-32-32-4&&100,50,50,78.61787000000001,50,74.04317999999999,1.57236,1.48086
maze-32-32-4&&200,50,50,121.51016,50,114.87164,2.4302,2.29743
random-32-32-10&&250,50,50,79.87799,50,75.56320999999996,1.59756,1.51126
random-32-32-10&&300,50,50,86.58359,50,81.21708,1.7316718,1.6243416
random-32-32-10&&350,50,50,94.82251,50,88.15542999999997,1.89645,1.76311
random-32-32-10&&400,50,50,104.37162999999998,50,97.04873,2.08743,1.94097
random-32-32-10&&460,50,50,120.61068,50,113.25054000000002,2.41221,2.26501
room-32-32-4&&200,50,50,121.02589000000002,50,115.24549000000003,2.42052,2.30491
room-32-32-4&&300,50,50,182.09315,50,170.19694000000004,3.64186,3.40394
room-64-64-8&&600,50,50,152.50849,50,144.10233,3.05017,2.88205
room-64-64-8&&700,50,50,178.606,50,168.98293,3.57212,3.37966
room-64-64-8&&800,50,50,209.10465,50,195.60455,4.18209,3.91209
room-64-64-8&&900,50,50,239.27184000000003,50,224.47403,4.78544,4.48948
room-64-64-8&&1000,50,50,271.41095,50,255.27304000000004,5.42822,5.10546
warehouse-10-20-10-2-1&&1000,50,50,150.63643,50,137.73225,3.01273,2.75464
warehouse-20-40-10-2-1&&1000,50,50,85.00719000000001,50,79.48441,1.70014,1.58969
